"ID","ISDELETED","MASTERRECORDID","NAME","TYPE","RECORDTYPEID","PARENTID","BILLINGSTREET","BILLINGCITY","BILLINGSTATE","BILLINGPOSTALCODE","BILLINGCOUNTRY","BILLINGLATITUDE","BILLINGLONGITUDE","BILLINGADDRESS","SHIPPINGSTREET","SHIPPINGCITY","SHIPPINGSTATE","SHIPPINGPOSTALCODE","SHIPPINGCOUNTRY","SHIPPINGLATITUDE","SHIPPINGLONGITUDE","SHIPPINGADDRESS","PHONE","FAX","ACCOUNTNUMBER","WEBSITE","PHOTOURL","SIC","INDUSTRY","ANNUALREVENUE","NUMBEROFEMPLOYEES","OWNERSHIP","TICKERSYMBOL","DESCRIPTION","RATING","SITE","OWNERID","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","LASTACTIVITYDATE","LASTVIEWEDDATE","LASTREFERENCEDDATE","JIGSAW","JIGSAWCOMPANYID","CLEANSTATUS","ACCOUNTSOURCE","DUNSNUMBER","TRADESTYLE","NAICSCODE","NAICSDESC","YEARSTARTED","SICDESC","DANDBCOMPANYID","CUSTOMERPRIORITY__C","SLA__C","ACTIVE__C","NUMBEROFLOCATIONS__C","UPSELLOPPORTUNITY__C","SLASERIALNUMBER__C","SLAEXPIRATIONDATE__C","FRUIT_RECIPIENT__C","LOCATION__LATITUDE__S","LOCATION__LONGITUDE__S","LOCATION__C","NEIGHBORHOOD__C"
"001o000000BhPXxAAN","false","","twi_s","","012o00000007ur9AAA","","","","","","","","","","","","","","","","","","","","","","/services/images/photo/001o000000BhPXxAAN","","","","","","","","","","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","","","","","","Pending","","","","","","","","","","","","","","","","false","47.5506058","-122.3528069","","West Seattle"
"001o000000BaVTPAA3","false","","United Oil & Gas, UK","Customer - Direct","","","Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom","","UK","","","","","","Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom","","","","","","","","+44 191 4956203","+44 191 4956620","CD355119-A","http://www.uos.com","/services/images/photo/001o000000BaVTPAA3","4437","Energy","","24000","Public","UOS","","","","005o0000001By2iAAC","2014-10-11T01:22:48.000Z","005o0000001By2iAAC","2014-10-11T01:22:48.000Z","005o0000001By2iAAC","2014-10-11T01:22:48.000Z","","","","","","Pending","","","","","","","","","High","Platinum","Yes","34.0","No","3479","2013-11-05","false","","","",""
"001o000000BhPXmAAN","false","","smith_s","","012o00000007ur9AAA","","","","","","","","","","","","","","","","","","","","","","/services/images/photo/001o000000BhPXmAAN","","","","","","","","","","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","","","","","","Pending","","","","","","","","","","","","","","","","false","47.5771765","-122.2927367","","South Seattle"
"001o000000BaVTRAA3","false","","Edge Communications","Customer - Direct","","","312 Constitution Place
Austin, TX 78767
USA","Austin","TX","","","","","","312 Constitution Place
Austin, TX 78767
USA","","","","","","","","(512) 757-6000","(512) 757-9000","CD451796","http://edgecomm.com","/services/images/photo/001o000000BaVTRAA3","6576","Electronics","1.39E8","1000","Public","EDGE","Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.","Hot","","005o0000001By2iAAC","2014-10-11T01:22:48.000Z","005o0000001By2iAAC","2014-10-11T01:22:48.000Z","005o0000001By2iAAC","2014-10-11T01:22:48.000Z","","","","","","Pending","","","","","","","","","Medium","Silver","Yes","2.0","Maybe","2657","2013-11-05","false","","","",""
"001o000000BhPXoAAN","false","","morris_t","","012o00000007ur9AAA","","","","","","","","","","","","","","","","","","","","","","/services/images/photo/001o000000BhPXoAAN","","","","","","","","","","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","","","","","","Pending","","","","","","","","","","","","","","","","false","47.579767","-122.3011724","","South Seattle"
"001o000000BaVTWAA3","false","","Express Logistics and Transport","Customer - Channel","","","620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States","Portland","OR","","","","","","620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States","","","","","","","","(503) 421-7800","(503) 421-7801","CC947211","www.expressl&t.net","/services/images/photo/001o000000BaVTWAA3","8742","Transportation","9.5E8","12300","Public","EXLT","Commerical logistics and transportation company.","Cold","","005o0000001By2iAAC","2014-10-11T01:22:48.000Z","005o0000001By2iAAC","2014-10-11T01:22:48.000Z","005o0000001By2iAAC","2014-10-11T01:22:48.000Z","","","","","","Pending","","","","","","","","","Medium","Platinum","Yes","150.0","Maybe","4724","2014-05-08","false","","","",""
"001o000000BhPXYAA3","false","","smith_b","","012o00000007ur9AAA","","","","","","","","","","","","","","","","","","","","","","/services/images/photo/001o000000BhPXYAA3","","","","","","","","","","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","","","","","","Pending","","","","","","","","","","","","","","","","false","47.6747031","-122.3950526","","Ballard"
"001o000000BaVTYAA3","false","","United Oil & Gas Corp.","Customer - Direct","","","1301 Avenue of the Americas 
New York, NY 10019
USA","New York","NY","","","","","","1301 Avenue of the Americas 
New York, NY 10019
USA","","","","","","","","(212) 842-5500","(212) 842-5501","CD355118","http://www.uos.com","/services/images/photo/001o000000BaVTYAA3","4437","Energy","5.6E9","145000","Public","UOS","World's third largest oil and gas company.","Hot","","005o0000001By2iAAC","2014-10-11T01:22:48.000Z","005o0000001By2iAAC","2014-10-11T01:22:48.000Z","005o0000001By2iAAC","2014-10-11T01:22:48.000Z","","","","","","Pending","","","","","","","","","High","Platinum","Yes","955.0","Yes","6654","2014-05-08","false","","","",""
"001o000000BhPY0AAN","false","","sski_s","","012o00000007ur9AAA","","","","","","","","","","","","","","","","","","","","","","/services/images/photo/001o000000BhPY0AAN","","","","","","","","","","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","","","","","","Pending","","","","","","","","","","","","","","","","false","47.54664","-122.3765601","","West Seattle"
"001o000000BhPXXAA3","false","","scott_z","","012o00000007ur9AAA","","","","","","","","","","","","","","","","","","","","","","/services/images/photo/001o000000BhPXXAA3","","","","","","","","","","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","","","","","","Pending","","","","","","","","","","","","","","","","false","47.677","-122.385","","Ballard"
"001o000000BaVTXAA3","false","","University of Arizona","Customer - Direct","","","888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States","Tucson","AZ","","","","","","888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States","","","","","","","","(520) 773-9050","(520) 773-9060","CD736025","www.universityofarizona.com","/services/images/photo/001o000000BaVTXAA3","7321","Education","","39000","Other","","Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine.","Warm","","005o0000001By2iAAC","2014-10-11T01:22:48.000Z","005o0000001By2iAAC","2014-10-11T01:22:48.000Z","005o0000001By2iAAC","2014-10-11T01:22:48.000Z","","","","","","Pending","","","","","","","","","Medium","Gold","Yes","3.0","Yes","8350","2013-11-05","false","","","",""
"001o000000BhPXeAAN","false","","sandy_s","","012o00000007ur9AAA","","","","","","","","","","","","","","","","","","","","","","/services/images/photo/001o000000BhPXeAAN","","","","","","","","","","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","","","","","","Pending","","","","","","","","","","","","","","","","false","47.7037108","-122.3655804","","Ballard"
"001o000000BhPXpAAN","false","","morrison_a","","012o00000007ur9AAA","","","","","","","","","","","","","","","","","","","","","","/services/images/photo/001o000000BhPXpAAN","","","","","","","","","","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","","","","","","Pending","","","","","","","","","","","","","","","","false","47.5813447","-122.3044232","","South Seattle"
"001o000000BhPXdAAN","false","","lucas_s","","012o00000007ur9AAA","","","","","","","","","","","","","","","","","","","","","","/services/images/photo/001o000000BhPXdAAN","","","","","","","","","","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","","","","","","Pending","","","","","","","","","","","","","","","","false","47.6952445","-122.3619219","","Ballard"
"001o000000BhPXwAAN","false","","haze_p","","012o00000007ur9AAA","","","","","","","","","","","","","","","","","","","","","","/services/images/photo/001o000000BhPXwAAN","","","","","","","","","","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","","","","","","Pending","","","","","","","","","","","","","","","","false","47.5532091","-122.3588116","","West Seattle"
"001o000000BhPXlAAN","false","","baker_a","","012o00000007ur9AAA","","","","","","","","","","","","","","","","","","","","","","/services/images/photo/001o000000BhPXlAAN","","","","","","","","","","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","","","","","","Pending","","","","","","","","","","","","","","","","false","47.5715194","-122.2936565","","South Seattle"
"001o000000BhPXyAAN","false","","thad_s","","012o00000007ur9AAA","","","","","","","","","","","","","","","","","","","","","","/services/images/photo/001o000000BhPXyAAN","","","","","","","","","","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","","","","","","Pending","","","","","","","","","","","","","","","","false","47.5551387","-122.3577636","","West Seattle"
"001o000000BhPXsAAN","false","","smicks_a","","012o00000007ur9AAA","","","","","","","","","","","","","","","","","","","","","","/services/images/photo/001o000000BhPXsAAN","","","","","","","","","","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","","","","","","Pending","","","","","","","","","","","","","","","","false","47.5517918","-122.3791557","","West Seattle"
"001o000000BaVTZAA3","false","","sForce","","","","The Landmark @ One Market","San Francisco","CA","94087","US","","","","","","","","","","","","(415) 901-7000","(415) 901-7002","","www.sforce.com","/services/images/photo/001o000000BaVTZAA3","","","","","","","","","","005o0000001By2iAAC","2014-10-11T01:22:48.000Z","005o0000001By2iAAC","2014-10-11T01:22:48.000Z","005o0000001By2iAAC","2014-10-11T01:22:48.000Z","","","","","","Pending","","","","","","","","","","","","","","","","false","","","",""
"001o000000BhPXaAAN","false","","blaze_t","","012o00000007ur9AAA","","","","","","","","","","","","","","","","","","","","","","/services/images/photo/001o000000BhPXaAAN","","","","","","","","","","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","","","","","","Pending","","","","","","","","","","","","","","","","false","47.6711053","-122.3869416","","Ballard"
"001o000000BhPXqAAN","false","","alexa_s","","012o00000007ur9AAA","","","","","","","","","","","","","","","","","","","","","","/services/images/photo/001o000000BhPXqAAN","","","","","","","","","","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","","","","","","Pending","","","","","","","","","","","","","","","","false","47.5835303","-122.3040906","","South Seattle"
"001o000000BhPXfAAN","false","","layton_b","","012o00000007ur9AAA","","","","","","","","","","","","","","","","","","","","","","/services/images/photo/001o000000BhPXfAAN","","","","","","","","","","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","","","","","","Pending","","","","","","","","","","","","","","","","false","47.7052631","-122.3659345","","Ballard"
"001o000000BhPXvAAN","false","","carmin_a","","012o00000007ur9AAA","","","","","","","","","","","","","","","","","","","","","","/services/images/photo/001o000000BhPXvAAN","","","","","","","","","","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","","","","","","Pending","","","","","","","","","","","","","","","","false","47.5493074","-122.3717911","","West Seattle"
"001o000000BhPXrAAN","false","","smart_p","","012o00000007ur9AAA","","","","","","","","","","","","","","","","","","","","","","/services/images/photo/001o000000BhPXrAAN","","","","","","","","","","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","","","","","","Pending","","","","","","","","","","","","","","","","false","47.5561567","-122.3797759","","West Seattle"
"001o000000BhPXiAAN","false","","fisher_k","","012o00000007ur9AAA","","","","","","","","","","","","","","","","","","","","","","/services/images/photo/001o000000BhPXiAAN","","","","","","","","","","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","","","","","","Pending","","","","","","","","","","","","","","","","false","47.5553302","-122.2663414","","South Seattle"
"001o000000BhPXtAAN","false","","spits_m","","012o00000007ur9AAA","","","","","","","","","","","","","","","","","","","","","","/services/images/photo/001o000000BhPXtAAN","","","","","","","","","","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","","","","","","Pending","","","","","","","","","","","","","","","","false","47.5484529","-122.3767049","","West Seattle"
"001o000000BhPXnAAN","false","","shandil_s","","012o00000007ur9AAA","","","","","","","","","","","","","","","","","","","","","","/services/images/photo/001o000000BhPXnAAN","","","","","","","","","","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","","","","","","Pending","","","","","","","","","","","","","","","","false","47.5780594","-122.2951185","","South Seattle"
"001o000000BhPXkAAN","false","","robbins_t","","012o00000007ur9AAA","","","","","","","","","","","","","","","","","","","","","","/services/images/photo/001o000000BhPXkAAN","","","","","","","","","","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","","","","","","Pending","","","","","","","","","","","","","","","","false","47.5680593","-122.2849876","","South Seattle"
"001o000000BaVTTAA3","false","","Pyramid Construction Inc.","Customer - Channel","","","2 Place Jussieu","Paris","","75251","France","","","","2 Place Jussieu","Paris","","75251","France","","","","(014) 427-4427","(014) 427-4428","CC213425","www.pyramid.com","/services/images/photo/001o000000BaVTTAA3","4253","Construction","9.5E8","2680","Public","PYR","","","","005o0000001By2iAAC","2014-10-11T01:22:48.000Z","005o0000001By2iAAC","2014-10-11T01:22:48.000Z","005o0000001By2iAAC","2014-10-11T01:22:48.000Z","","","","","","Pending","","","","","","","","","","Silver","Yes","17.0","Maybe","9840","2014-05-08","false","","","",""
"001o000000BhPXZAA3","false","","taylor_a","","012o00000007ur9AAA","","","","","","","","","","","","","","","","","","","","","","/services/images/photo/001o000000BhPXZAA3","","","","","","","","","","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","","","","","","Pending","","","","","","","","","","","","","","","","false","47.6697904","-122.3951598","","Ballard"
"001o000000BhPY1AAN","false","","ski_e","","012o00000007ur9AAA","","","","","","","","","","","","","","","","","","","","","","/services/images/photo/001o000000BhPY1AAN","","","","","","","","","","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","","","","","","Pending","","","","","","","","","","","","","","","","false","47.5446267","-122.3852719","","West Seattle"
"001o000000BhPXzAAN","false","","sman_s","","012o00000007ur9AAA","","","","","","","","","","","","","","","","","","","","","","/services/images/photo/001o000000BhPXzAAN","","","","","","","","","","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","","","","","","Pending","","","","","","","","","","","","","","","","false","47.5504175","-122.3744577","","West Seattle"
"001o000000BhPXcAAN","false","","sampson_r","","012o00000007ur9AAA","","","","","","","","","","","","","","","","","","","","","","/services/images/photo/001o000000BhPXcAAN","","","","","","","","","","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","","","","","","Pending","","","","","","","","","","","","","","","","false","47.6919515","-122.3795172","","Ballard"
"001o000000BhPXjAAN","false","","maier_s","","012o00000007ur9AAA","","","","","","","","","","","","","","","","","","","","","","/services/images/photo/001o000000BhPXjAAN","","","","","","","","","","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","","","","","","Pending","","","","","","","","","","","","","","","","false","47.5578463","-122.2814476","","South Seattle"
"001o000000BaVTVAA3","false","","Grand Hotels & Resorts Ltd","Customer - Direct","","","2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA","Chicago","IL","","","","","","2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA","","","","","","","","(312) 596-1000","(312) 596-1500","CD439877","www.grandhotels.com","/services/images/photo/001o000000BaVTVAA3","2268","Hospitality","5.0E8","5600","Public","GHTL","Chain of hotels and resorts across the US, UK, Eastern Europe, Japan, and SE Asia.","Warm","","005o0000001By2iAAC","2014-10-11T01:22:48.000Z","005o0000001By2iAAC","2014-10-11T01:22:48.000Z","005o0000001By2iAAC","2014-10-11T01:22:48.000Z","","","","","","Pending","","","","","","","","","High","Gold","Yes","57.0","Yes","5572","2014-05-08","false","","","",""
"001o000000BaVTQAA3","false","","United Oil & Gas, Singapore","Customer - Direct","","","9 Tagore Lane
Singapore, Singapore 787472
Singapore","Singapore","Singapore","","","","","","9 Tagore Lane
Singapore, Singapore 787472
Singapore","","","","","","","","(650) 450-8810","(650) 450-8820","CD355120-B","http://www.uos.com","/services/images/photo/001o000000BaVTQAA3","4437","Energy","","3000","Public","UOS","","","","005o0000001By2iAAC","2014-10-11T01:22:48.000Z","005o0000001By2iAAC","2014-10-11T01:22:48.000Z","005o0000001By2iAAC","2014-10-11T01:22:48.000Z","","","","","","Pending","","","","","","","","","High","Platinum","Yes","6.0","Maybe","2457","2014-05-08","false","","","",""
"001o000000BaVTSAA3","false","","Burlington Textiles Corp of America","Customer - Direct","","","525 S. Lexington Ave","Burlington","NC","27215","USA","","","","","","","","","","","","(336) 222-7000","(336) 222-8000","CD656092","www.burlington.com","/services/images/photo/001o000000BaVTSAA3","546732","Apparel","3.5E8","9000","Public","BTXT","","Warm","","005o0000001By2iAAC","2014-10-11T01:22:48.000Z","005o0000001By2iAAC","2014-10-11T01:22:48.000Z","005o0000001By2iAAC","2014-10-11T01:22:48.000Z","","","","","","Pending","","","","","","","","","","Silver","","6.0","Maybe","5367","2013-11-05","false","","","",""
